Particulars,2018,2019,2020,2021,2022,2023,2024,2025,2026
Cash from Operating Activity,14.13,-10.71,57.13,47.89,30.63,39.4,51.5,67.21,25.72
Cash from Investing Activity,-5.94,-15.36,-15.2,-2.07,-13.83,19.82,-9.54,-8.94,-8.96
Cash from Financing Activity,39.66,-17.13,-25.83,-44.54,-41.78,-62.8,-50.52,-41.67,-42.68
Net Cash Flow,47.85,-43.2,16.1,1.29,-24.98,-3.58,-8.56,16.6,-25.92
