Particulars,Note,CurrentYear,PreviousYear
Particulars,,,Particulars
Cash flow from Operating Activities,,Cash,flowfromFinancingActivities
Profit before tax for the year,462.38 489.09,,Proceedsfromissueofshares4.202.83
Adjustments for:,,,ProceedsfromShareapplicationmoneypendingallotment0.150.02
Finance Cost,78.89 63.06,,Repaymentsofborrowings(1.52)(102.28)
Depreciation and Amortisation expense,229.12 181.01,,PaymentofLeaseLiabilities(209.71)(170.95)
Gain on termination of lease,(3.39) (3.05),,FinanceCosts(0.26)(0.14)
Loss on Sale / Discard of Property Plant & Equipment (net),4.35 1.42,,PaymentofFinalandInterimDividend(115.53)(88.30)
Dividend income from Current Investments in Mutual Funds,(0.47) (0.12),Net,cashusedinFinancingActivities(322.67)(358.82)
Net gain on sale of Investments,(3.99) (6.80),Net,decrease)/increaseincashandcashequivalents16.09(29.71
Net Gain arising on Investments designated as FVTPL,(9.59) (6.48),Cash,andcashequivalentsatthebeginning31.8361.54
Interest Income,(44.67) (30.11),Cash,andcashequivalentsattheendoftheyear[Refernote9a]47.9231.83
"Liabilities no longer required, written back",(3.42) -,,
Advances written off/ (written back),- (2.50),,
Employee's Stock Options Expenses,13.83 9.01,,Changeinliabilitiesarisingfromfinancialactivities
Operating profit before working capital changes,723.03 694.53,,Openingbalance1.52-
Movement in working capital:,,Add:,Proceedsfromborrowing-103.80
(Increase)/Decrease in Trade Receivable,29.60 34.15,Less:,Repaymentofborrowings(1.52)(102.28)
(Increase)/Decrease in other financial assets,(17.74) (15.46),,Closingbalance-1.52
(Increase)/Decrease in other current assets,24.88 21.33,,
(Increase)/Decrease in Inventories,(64.39) (173.74),,
(Increase)/Decrease in other non-current assets,0.33 2.15,In,termsofourreportattached.ForandonbehalfoftheBoardofDirectors
Increase/(Decrease) in trade and other payables,(41.50) 38.90,,
Increase/(Decrease) in Other current liabilities,18.73 (41.43),,CharteredAccountantsCIN-L19200MH1977PLC019449
Increase/(Decrease) in Other non-current liabilities,(3.09) (0.31),ICAI,FirmRegistrationno.324982E/E300003
Increase/(Decrease) in Other financial liabilities,3.60 (35.42),,
Increase/(Decrease) in Provisions,0.63 (2.82),,PartnerChairmanManagingDirectorChiefExecutiveOfficer
Cash generated from Operations,674.08 521.88,,
Less: Income taxes paid,(84.00) (141.21),,ChiefFinancialOfficerCompanySecretary
Net cash generated from Operating Activities,590.08 380.67,,
Cash flows from Investing Activities,,Date,:May222024Date:May222024
"Capital Expenditure on Property, Plant & Equipment and Intangible assets including",(116.13) (99.64),,
Capital Advances and Capital Creditor,,,
"Proceeds from Sale / Discard of Property, Plant & Equipment",5.06 8.13,,
Interest Received,47.81 21.11,,
Investments in Fixed Deposits,(164.03) (327.96),,
Redemption of Fixed Deposits,231.33 504.60,,
Purchase of Current Investments,"(1,629.32) (1,346.21)",,
Redemption of Current Investments,"1,373.50 1,285.55",,
Dividend Income from Mutual Funds,0.47 0.12,,
Investment in Equity shares,- (1.34),,
Cash Consideration paid on acquisition of Subsidiary (net of cash and cash,- (95.92),,
