Particulars,Note,CurrentYear,PreviousYear
REVENUE,,,
Revenue from operations,18,17084.80,30561.14
Other income,19,940.85,686.77
Total revenue,,18025.65,31247.91
EXPENSES,,,
Cost of raw materials and components consumed,20a,1099.01,2569.59
Purchase of stock-in-trade,20b,4658.65,10736.15
"Changes in inventories of finished goods, work-in-progress and stock-in-trade",21,2617.29,-339.93
Employee benefits expense,22,3398.22,3764.22
Finance costs,23,1035.45,1177.41
Depreciation and amortization expense,24,2647.50,2957.97
Other expenses,25,3689.80,5510.14
Total expenses,,19145.92,26375.55
Profit before income tax,,-1120.27,4872.36
Exceptional Items,26 (a),46.10,0
Profit before tax,,-1166.37,4872.36
Tax expense:,,,
Current tax,6,0.87,1171.36
Deferred tax (credit),6,-274.13,411.47
Profit for the year,,-893.11,3289.53
Other comprehensive income,,,
Items that will not to be reclassified to profit or loss in subsequent periods:,,,
Re-measurement gains/(losses) on defined benefit plans,26 (b),65.28,-27.08
Income tax effect,6,-16.43,6.81
"Other comprehensive income for the year, net of income tax",,48.85,-20.27
"Total comprehensive income for the year, net of income tax",,-844.26,3269.26
Earnings per equity share (nominal value per share INR 5 (Previous year INR,5)),,
(1) Basic (INR),28,-6.95,25.59
(2) Diluted (INR),28,-6.95,25.59
Significant accounting policies,2&3,,
The accompanying notes are an integral part of these financial statements,,,
As per our report of even date attached For and on behalf,of the Board of,DirectorsofBataIndia,Limited
For B S R & Co. LLP Rajeev Gopalakrishnan,Sandeep Kataria,Ashok,KumarBarat
ICAI Firm Registration number: 101248W/W-100022 Managing Director,Whole Time Diretor &,CEOIndependent,Director
Chartered Accountants DIN: 03438046,DIN: 05183714,DIN:,00492930
Rajiv Goyal Ram Kumar Gupta,Vidhya Srinivasan,Nitin,Bagaria
Partner Director Finance & CFO,Director Finance &,CFOCompany,Secretary
Membership no.: 094549 DIN: 01125065,DIN: 06900413,Membership,no.ACS20228
Place: Gurugram,,,
Date: 09 June 2021,,,
