Particulars,Note,CurrentYear,PreviousYear
Revenue from Operations,21,2359.15,2410.48
Other Income,22,22.77,9.05
Total Income,,2381.92,2419.53
EXPENSES,,,
"Cost of Materials Consumed, including Packing Material",,863.85,930.78
Purchases of Stock-in-Trade,,95.28,162.08
"Changes in Inventories of Finished Goods, Stock-in-Trade and Work-in-Progress",23,44.15,-53.54
Employee Benefits Expense,24,301.39,293.99
Finance Costs,25,17.08,16.87
Depreciation and Amortisation Expense,26,110.02,109.42
Other Expenses,27,558.99,668.22
Total Expenses,,1990.76,2127.82
Profit Before Tax,,391.16,291.71
Tax Expense,28,,
Current Tax,,102.03,74.92
Deferred Tax,,-2.43,-9.46
Tax for Earlier years (Net),,0,0.00
Profit for the year,,291.56,226.25
Other Comprehensive Income not to be reclassified to Profit or Loss,,,
Remeasurement Gains / (Losses) on Defined Benefit Plan,32(b),1.93,-0.92
Income Tax effect on above,,-0.48,0.23
Total Comprehensive Income for the year,,293.01,225.56
(Comprising Profit and Other Comprehensive Income for the year),,,
Earnings Per Equity Share of J1/-,34,,
Basic (B),,11.74,9.12
Diluted (B),,11.72,9.10
Significant Accounting Policies,30,,
The accompanying notes are an integral part of financial statements.,,,
As per our report of even date,For and on behalf,oftheBoardofDirectors,
For B R Maheswari & Co LLP,Ramesh Kumar,DuaMukand,LalDua
Chartered Accountants,Managing Director,Whole,TimeDirector
Firm’s Registration No. 001035N/N500050,DIN :00157872,DIN,:00157898
Sudhir Maheshwari,,,
Partner,Sushil Batra,Vikas,KumarTak
Membership No. 081075,Chief Financial,OfficerCompany,Secretary
"Delhi, May 20, 2021",,,
