Particulars,2018,2019,2020,2021,2022,2023,2024,2025,2026
Cash from Operating Activity,,22.37,-20.9,124.73,17.87,126.47,264.47,235.21,134.77
Cash from Investing Activity,,-23.39,-55.19,-8.84,-34.08,-69.68,-74.49,-154.58,-54.73
Cash from Financing Activity,,1.2,88.89,-129.4,15.53,-33.15,-192.47,-84.69,-93.52
Net Cash Flow,,0.18,12.8,-13.5,-0.69,23.64,-2.49,-4.06,-13.48
