Particulars,Note,CurrentYear,PreviousYear
Note,For the year,endedFor,theyearended
Particulars,,,
No.,March,312022,March312021
I Revenue from operations 17,,134293.05,80005.67
II Other Income 18,,5863.95,7848.14
III Total Income (I + II),,140157.00,87853.81
IV Expenses,,,
(a) Purchases of stock-in-trade 19a,,70034.09,27410.17
(b) Changes in inventories of stock-in-trade 19b,,-13443.78,8637.62
(c) Employee benefits expense 21,,12124.46,10260.21
(d) Finance Costs 22,,5042.90,4481.38
(e) Depreciation and amortization expenses 20,,13423.52,12184.42
(f) Other expenses 23,,24661.83,16429.45
Total Expenses (IV),,111843.02,79403.25
V Profit before tax and before share of profit of a Joint Venture (III-IV),,28313.98,8450.56
VI Tax expense,,,
(a) Current tax 24,,7580.45,2354.65
(b) Deferred tax (credit) 24,,-561.80,-425.95
Total tax expense,,7018.66,1928.70
VII Profit after tax for the year and before share of profit of a Joint,,21295.32,6521.86
Venture (V-Vl),,,
VIII Share of profit/(loss) of a Joint Venture,,124.32,-59.79
IX Profit after tax for the year (VII+VIII),,21419.64,6462.07
X Other comprehensive income,,40.99,184.61
(i) Items that will not be reclassified to profit or loss,,,
- Gain / (Loss) on remeasurements of the defined benefit plans,,,
(i) Group,,100.34,148.52
(ii) Share in Joint Venture,,-5.73,0.56
- Income tax relating to items that will not be reclassified to,,-25.25,-37.39
profit or loss,,,
(ii) Items that will be reclassified to profit or loss,,,
- Gain/(Loss) arising on fair value of investments designated at FVOCI,,-28.37,72.92
- Income tax relating to items that will be reclassified to profit or loss,,0,0
XI Total comprehensive income for the year (IX+X),,21460.64,6646.68
Profit/(loss) for the year attributable to:,,,
- Owners of the Company,,21159.08,6820.06
- Non-controlling interests,,260.57,-357.99
Other comprehensive income for the year attributable to:,,,
- Owners of the Company,,43.26,187.10
- Non-controlling interests,,-2.27,-2.49
Total comprehensive income for the year attributable to:,,,
- Owners of the Company,,21202.34,7007.16
- Non-controlling interests,,258.30,-360.48
Earnings per equity share (Face value of ` 5 each):,,,
Basic (`) 31,,8.01,2.43
Diluted (`) 31,,7.98,2.43
See accompanying notes from 1 to 52 forming part of the Consolidated,financial statements,,
In terms of our report attached. For and on behalf of the Board of,Directors,,
Deloitte Haskins & Sells Metro Brands Limited,,,
For,,,
Chartered Accountants,,,
Ketan Vora Rafique A.Malik Farah,Malik Bhanji,NissanJoseph,
Partner Chairman Managing,Director,ChiefExecutive,Officer
DIN:00521563,DIN:00530676,,
Place: Dubai,,,
