Particulars,Note,CurrentYear,PreviousYear
I Revenue from operations,17,80005.67,128516.26
II Other Income,18,7848.14,2590.62
III Total Income (I + II),,87853.81,131106.88
IV Expenses,,,
(a) Purchases,19,27410.17,58217.93
(b) Changes in inventories of stock in trade,20,8637.62,-1151.59
(c) Employee beneﬁts expense,21,10260.21,12675.69
(d) Finance Costs,22,4365.46,3954.84
(e) Depreciation and Amortisation expense,"2a,2b &2c",12184.42,12060.51
(f) Other expenses,23,16545.37,23507.72
Total Expenses (IV),,79403.25,109265.10
V Proﬁt before tax and before share of proﬁt of a Joint,Venture (III-IV),8450.56,21841.78
VI Tax expense,,,
(a) Current tax,24,2354.65,5705.37
(b) Deferred tax,25,-425.95,163.51
Total tax expense,,1928.70,5868.88
VII Proﬁt after tax for the year and before share of,,,
proﬁt of a Joint Venture (V-Vl),,6521.86,15972.90
VIII Share of proﬁt of a Joint Venture,,-59.79,84.60
IX Proﬁt after tax for the year (VII+VIII),,6462.07,16057.50
X Other comprehensive income,,184.61,64.12
(a) (I) Items that will not be reclassiﬁed to proﬁt or loss,,,
- Gain on Remeasurements of the deﬁned beneﬁt,plans,,
(i) Group,,148.52,17.21
(ii) Share in Joint Venture,,0.56,-1.17
(a) (ii) Income tax relating to items that will not be,reclassiﬁed to proﬁt or loss,-37.39,1.30
(b) (I) Items that will be reclassiﬁed to proﬁt or loss,,,
-Gain arising on fair valuation of quoted investments,in bonds,72.92,46.78
(b) (ii) Income tax relating to items that will be reclassiﬁed,to proﬁt or loss,0,0
XI Total comprehensive income for the year (IX+X),,6646.68,16121.62
Proﬁt for the year attributable to:,,,
- Owners of the Company,,6820.06,15672.82
- Non-controlling interests,,-357.99,384.68
Other comprehensive income for the year attributable to:,,,
- Owners of the Company,,187.10,53.72
- Non-controlling interests,,-2.49,10.40
Total comprehensive income for the year attributable to:,,,
- Owners of the Company,,7007.16,15726.54
- Non-controlling interests,,-360.48,395.08
Earning per equity share (of ₹ 5 each):,,,
Basic,32,2.43,6.05
Diluted,32,2.43,6.05
See accompanying notes from 1 to 40 forming part of the,consolidated ﬁnancial,statements,
In terms of our report attached. For,and on behalf of the,BoardofDirectors,
F or Deloitte Haskins & Sells,Metro Brands Limited,,
Chartered Accountants,,,
Sd/-,,Sd/-,
Ketan Vora,Raﬁque A.Malik,FarahMalikBhanji,
Partner,Chairman,ManagingDirector&Chief,ExecutiveOfﬁcer
