Particulars,2018,2019,2020,2021,2022,2023,2024,2025,2026
Cash from Operating Activity,32.2,28.67,152.91,32.72,37.88,93.99,88.17,74.5,79.77
Cash from Investing Activity,-10.58,-10.39,-116.99,-9.06,-8.21,-55.03,-43.93,-43.99,-45.27
Cash from Financing Activity,-20.71,-19.1,-36.84,-24.08,-30.41,-38.68,-43.23,-29.88,-34.8
Net Cash Flow,0.91,-0.82,-0.93,-0.43,-0.74,0.28,1.0,0.63,-0.3
