Particulars,Note,CurrentYear,PreviousYear
Consolidated Statement,of,Profitand,Loss
"for the year ended March 31, 2025",,,
CIN: L19200MH1977PLC019449,,,
Particulars,,NoteFortheyear,endedFortheyearended
I Income,,,
(a) Revenue from operations,16,2507.39,2356.70
(b) Other Income,17,,92.9970.82
Total Income,,2600.38,2427.52
II Expenses,,,
(a) Purchases of stock-in-trade,18a,,987.611051.91
(b) Changes in inventories of stock in trade,18b,,73.26(64.38)
(c) Employee benefits expense,20,,245.00227.95
(d) Finance Costs,21,,90.4678.89
(e) Depreciation and amortisation expense,19,,258.03229.12
(f) Other expenses,22,,444.08441.65
Total Expenses,,2098.44,1965.14
III Profit before share of profit of a joint venture (I-II),,,501.94462.38
IV Share of profit of a joint venture (net of tax),,,1.633.02
V Profit before tax for the year (III+IV),,,503.57465.40
VI Tax expense,,,
(a) Current tax,23a,,140.1081.45
(b) Deferred tax (credit),23a,,16.01)(31.52
(c) Tax in respect of prior year (refer note 51),,,
Current tax,23a,,6.81-
Deferred tax,23a,,18.21-
Total tax expense,,,149.1149.93
VII Profit after tax for the year (V-VI),,,354.46415.47
VIII Other comprehensive income/(loss) for the year,,,(0.23)1.21
(a) Items that will not be reclassified to profit or loss in subsequent,periods,,
- Gain/(Loss) on Remeasurements of the defined benefit plans,,,
(i) Group,,,0.101.84
(ii) Share in Joint Venture,,,(0.03)-
- Income tax relating to items that will not be reclassified to profit,or loss,,0.02)(0.44
(b) Items that will be reclassified to profit or loss in subsequent,periods,,
- Loss arising on fair valuation of quoted investments in bonds,,,0.28)(0.03
- Income tax relating to items that will be reclassified to profit,or loss,,-(0.16)
IX Total comprehensive income for the year (net of tax) (VII+VIII),,,354.23416.68
Profit after tax for the year attributable to:,,,
- Equity holders of the Parent,,,350.61412.51
- Non-controlling interests,,,3.852.96
Other comprehensive income for the year attributable to:,,,
- Equity holders of the Parent,,,(0.26)1.21
- Non-controlling interests,,,0.03-
Total comprehensive income for the year attributable to:,,,
- Equity holders of the Parent,,,350.35413.72
- Non-controlling interests,,,3.882.96
Earning per equity share (face value of ` 5 each):,,,
Basic (`),30,,12.8915.18
Diluted (`),,30,12.8415.11
See accompanying notes from 1 to 54 which form an integral part of,the Consolidated,financialstatements,
In terms of our report of even date attached. For and on behalf,of the Board of,Directors,
For S R B C & CO LLP Metro Brands,Limited,,
Chartered Accountants CIN:,L19200MH1977PLC019449,,
ICAI Firm Registration no. 324982E/E300003,,,
Firoz Pradhan Rafique A.Malik,Farah,MalikBhanji,NissanJoseph
Partner Chairman,,ManagingDirector,ChiefExecutiveOfficer
Membership No.109360 DIN:00521563,DIN:,00530676,
Kaushal Parekh,Deepa,Sood,
